doctor_id,doctor_name,specialization,hospital_name,city,province,address,phone,email,ham10000_classes_treated,experience_years,consultation_fee_pkr,availability,rating,total_reviews,review_summary
D025,Dr. Doctor 25,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"25 Main Street, Karachi",+92-355-0000005,doctor25@hospital.pk,"mel,bcc,akiec,nv,bkl",26,2000,Mon-Fri 9AM-5PM,4.5,75,Experienced specialist in skin cancer treatment.
D026,Dr. Doctor 26,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"26 Main Street, Islamabad",+92-366-0000006,doctor26@hospital.pk,"mel,bcc,akiec,nv,bkl,df",27,2100,Mon-Fri 9AM-5PM,4.6,76,Experienced specialist in skin cancer treatment.
D027,Dr. Doctor 27,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"27 Main Street, Rawalpindi",+92-377-0000007,doctor27@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",28,2200,Mon-Fri 9AM-5PM,4.7,77,Experienced specialist in skin cancer treatment.
D028,Dr. Doctor 28,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"28 Main Street, Peshawar",+92-388-0000008,doctor28@hospital.pk,mel,29,2300,Mon-Fri 9AM-5PM,4.8,78,Experienced specialist in skin cancer treatment.
D029,Dr. Doctor 29,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"29 Main Street, Quetta",+92-399-0000009,doctor29@hospital.pk,"mel,bcc",30,2400,Mon-Fri 9AM-5PM,4.9,79,Experienced specialist in skin cancer treatment.
D030,Dr. Doctor 30,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"30 Main Street, Lahore",+92-300-0000000,doctor30@hospital.pk,"mel,bcc,akiec",1,1500,Mon-Fri 9AM-5PM,3.5,80,Experienced specialist in skin cancer treatment.
D031,Dr. Doctor 31,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"31 Main Street, Karachi",+92-311-0000001,doctor31@hospital.pk,"mel,bcc,akiec,nv",2,1600,Mon-Fri 9AM-5PM,3.6,81,Experienced specialist in skin cancer treatment.
D032,Dr. Doctor 32,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"32 Main Street, Islamabad",+92-322-0000002,doctor32@hospital.pk,"mel,bcc,akiec,nv,bkl",3,1700,Mon-Fri 9AM-5PM,3.7,82,Experienced specialist in skin cancer treatment.
D033,Dr. Doctor 33,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"33 Main Street, Rawalpindi",+92-333-0000003,doctor33@hospital.pk,"mel,bcc,akiec,nv,bkl,df",4,1800,Mon-Fri 9AM-5PM,3.8,83,Experienced specialist in skin cancer treatment.
D034,Dr. Doctor 34,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"34 Main Street, Peshawar",+92-344-0000004,doctor34@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",5,1900,Mon-Fri 9AM-5PM,3.9,84,Experienced specialist in skin cancer treatment.
D035,Dr. Doctor 35,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"35 Main Street, Quetta",+92-355-0000005,doctor35@hospital.pk,mel,6,2000,Mon-Fri 9AM-5PM,4.0,85,Experienced specialist in skin cancer treatment.
D036,Dr. Doctor 36,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"36 Main Street, Lahore",+92-366-0000006,doctor36@hospital.pk,"mel,bcc",7,2100,Mon-Fri 9AM-5PM,4.1,86,Experienced specialist in skin cancer treatment.
D037,Dr. Doctor 37,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"37 Main Street, Karachi",+92-377-0000007,doctor37@hospital.pk,"mel,bcc,akiec",8,2200,Mon-Fri 9AM-5PM,4.2,87,Experienced specialist in skin cancer treatment.
D038,Dr. Doctor 38,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"38 Main Street, Islamabad",+92-388-0000008,doctor38@hospital.pk,"mel,bcc,akiec,nv",9,2300,Mon-Fri 9AM-5PM,4.3,88,Experienced specialist in skin cancer treatment.
D039,Dr. Doctor 39,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"39 Main Street, Rawalpindi",+92-399-0000009,doctor39@hospital.pk,"mel,bcc,akiec,nv,bkl",10,2400,Mon-Fri 9AM-5PM,4.4,89,Experienced specialist in skin cancer treatment.
D040,Dr. Doctor 40,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"40 Main Street, Peshawar",+92-300-0000000,doctor40@hospital.pk,"mel,bcc,akiec,nv,bkl,df",11,1500,Mon-Fri 9AM-5PM,4.5,90,Experienced specialist in skin cancer treatment.
D041,Dr. Doctor 41,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"41 Main Street, Quetta",+92-311-0000001,doctor41@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",12,1600,Mon-Fri 9AM-5PM,4.6,91,Experienced specialist in skin cancer treatment.
D042,Dr. Doctor 42,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"42 Main Street, Lahore",+92-322-0000002,doctor42@hospital.pk,mel,13,1700,Mon-Fri 9AM-5PM,4.7,92,Experienced specialist in skin cancer treatment.
D043,Dr. Doctor 43,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"43 Main Street, Karachi",+92-333-0000003,doctor43@hospital.pk,"mel,bcc",14,1800,Mon-Fri 9AM-5PM,4.8,93,Experienced specialist in skin cancer treatment.
D044,Dr. Doctor 44,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"44 Main Street, Islamabad",+92-344-0000004,doctor44@hospital.pk,"mel,bcc,akiec",15,1900,Mon-Fri 9AM-5PM,4.9,94,Experienced specialist in skin cancer treatment.
D045,Dr. Doctor 45,Dermatologist & Oncologist,Benazir Bhutto Hospital,Rawalpindi,Punjab,"45 Main Street, Rawalpindi",+92-355-0000005,doctor45@hospital.pk,"mel,bcc,akiec,nv",16,2000,Mon-Fri 9AM-5PM,3.5,95,Experienced specialist in skin cancer treatment.
D046,Dr. Doctor 46,Dermatologist & Oncologist,Khyber Teaching Hospital,Peshawar,KPK,"46 Main Street, Peshawar",+92-366-0000006,doctor46@hospital.pk,"mel,bcc,akiec,nv,bkl",17,2100,Mon-Fri 9AM-5PM,3.6,96,Experienced specialist in skin cancer treatment.
D047,Dr. Doctor 47,Dermatologist & Oncologist,Civil Hospital Quetta,Quetta,Balochistan,"47 Main Street, Quetta",+92-377-0000007,doctor47@hospital.pk,"mel,bcc,akiec,nv,bkl,df",18,2200,Mon-Fri 9AM-5PM,3.7,97,Experienced specialist in skin cancer treatment.
D048,Dr. Doctor 48,Dermatologist & Oncologist,Shaukat Khanum Memorial Cancer Hospital,Lahore,Punjab,"48 Main Street, Lahore",+92-388-0000008,doctor48@hospital.pk,"mel,bcc,akiec,nv,bkl,df,vasc",19,2300,Mon-Fri 9AM-5PM,3.8,98,Experienced specialist in skin cancer treatment.
D049,Dr. Doctor 49,Dermatologist & Oncologist,Aga Khan University Hospital,Karachi,Sindh,"49 Main Street, Karachi",+92-399-0000009,doctor49@hospital.pk,mel,20,2400,Mon-Fri 9AM-5PM,3.9,99,Experienced specialist in skin cancer treatment.
D050,Dr. Doctor 50,Dermatologist & Oncologist,PIMS Hospital,Islamabad,Islamabad,"50 Main Street, Islamabad",+92-300-0000000,doctor50@hospital.pk,"mel,bcc",21,1500,Mon-Fri 9AM-5PM,4.0,100,Experienced specialist in skin cancer treatment.
